,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
Non,25%,1060.0,-0.037375000000000005,-0.006235,-0.0377,-0.042774999999999994,-0.0154,-0.047575000000000006,-0.0225,-0.0263,-0.0172,-0.0205,-0.026675,-0.0417,-0.0182,-0.0213,-0.038849999999999996,-0.0484,-0.0512,-0.027149999999999997,-0.0135,-0.052,-0.0193,-0.0389,-0.0072975,-0.0201
Non,50%,1200.0,0.016,0.00313,0.0111,0.0073950000000000005,-0.00266,0.0115,-0.0042450000000000005,0.005665,-0.0006755,0.007845,0.0052,0.0014299999999999998,0.005895,0.009925,0.0087,0.004805,0.0153,0.006765,0.0009625,-0.011800000000000001,-0.00010850000000000001,0.00876,0.00343,0.0038
Non,75%,1340.0,0.041275000000000006,0.0207,0.039775000000000005,0.03735,0.020874999999999998,0.0419,0.0132,0.0245,0.0143,0.0277,0.0259,0.0371,0.019575,0.0281,0.0328,0.0324,0.0446,0.0273,0.0128,0.0788,0.018574999999999998,0.03597499999999999,0.0126,0.0201
Non,max,1480.0,0.0882,0.12300000000000001,0.106,0.10800000000000001,0.109,0.0924,0.138,0.107,0.11800000000000001,0.0702,0.0673,0.18,0.0953,0.10099999999999999,0.0822,0.213,0.138,0.0747,0.0593,0.29,0.0918,0.0963,0.0672,0.0589
Ass,count,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0
Ass,mean,2074.765832889835,-0.0021404927621075038,0.006009636242682278,0.00033474208355508355,-0.002672344571580628,0.0007712732038318252,-0.0023974201436934546,-0.00322692261841405,-0.00461634095263438,-0.0021304866817456096,0.00018813103778605593,-0.003171992690260777,-0.004722389348057477,-0.001421827168706759,-0.0006558443587014373,-0.003707110351250666,-0.0037783280359233637,-0.005552762054284194,-0.0030171210537519957,-0.0027649354071314527,0.013082842243214472,0.00014313368813198514,-0.00466145280202235,0.0008748077913783933,-0.002441825771687067
Ass,std,111.53721063686503,0.05255857056532967,0.030519748629991385,0.050287311861092525,0.04814813753249502,0.020672647585877675,0.04053687369802258,0.05933431140146218,0.03257089982604439,0.0408940759107851,0.030674849028312124,0.033515085565965066,0.0455667011141941,0.0394298876796519,0.044260526239556855,0.03760455963118105,0.04088554520294662,0.05794931296697196,0.036255198322690835,0.025311217214902558,0.07018877938537217,0.02594651922166113,0.04899621676227851,0.024209316234045607,0.02423493531051894
Ass,min,1880.0,-0.14,-0.235,-0.11699999999999999,-0.182,-0.0698,-0.12300000000000001,-0.168,-0.0986,-0.113,-0.0814,-0.107,-0.146,-0.12,-0.134,-0.0967,-0.182,-0.14300000000000002,-0.0893,-0.0713,-0.369,-0.076,-0.12,-0.064,-0.0685
Ass,25%,1980.0,-0.040475,-0.0114,-0.0382,-0.0358,-0.012475000000000002,-0.0325,-0.0446,-0.0297,-0.0282,-0.022475000000000002,-0.024375,-0.0351,-0.0265,-0.028874999999999998,-0.0302,-0.0324,-0.0482,-0.0294,-0.021675,-0.025,-0.0171,-0.0417,-0.0165,-0.0206
Ass,50%,2080.0,-0.00791,0.00321,-0.002065,-0.00725,-9.529999999999999e-05,-0.004569999999999999,-0.0092,-0.00505,-0.0008225000000000001,-0.003945,-0.00657,-0.00842,-0.000256,0.002555,-0.007295,-0.0009065,-0.012150000000000001,-0.0030350000000000004,-0.0033,0.01155,0.0004845,-0.009174999999999999,0.00229,-0.003785
Ass,75%,2170.0,0.041175,0.018,0.033775,0.037875000000000006,0.0138,0.0243,0.0344,0.019275,0.0206,0.0243,0.0194,0.021475,0.029675,0.0349,0.02,0.025,0.0342,0.023875,0.0172,0.048175,0.0161,0.032,0.016,0.0148
Ass,max,2280.0,0.146,0.19899999999999998,0.131,0.18899999999999997,0.0784,0.131,0.18600000000000003,0.126,0.136,0.0691,0.121,0.166,0.10400000000000001,0.109,0.11900000000000001,0.174,0.19699999999999998,0.11699999999999999,0.0958,0.325,0.10400000000000001,0.157,0.0888,0.0774
